Month,CBSACode,CBSATitle,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201804,32580,"McAllen-Edinburg-Mission, TX",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,66000.000000,0.0560,0.1037,894.00000,0.0000,0.1389,71.59836185498600,0.0000,-0.0915,4.0,0.0000,3.0000,0.2500,,,187.50,38.50,0.2584,72.50,0.6304,0.0,,,0.0,,,0.0,,,0.0,,,4.0,0.0000,3.0000,0.0000,0.0000,0.0000,1.0000,3.2593,0.6970,0.0370,0,0
201804,31660,"Malone, NY",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,249950.000000,0.0000,-0.0741,800.00000,0.0000,0.0000,312.37500000000000,0.0000,-0.0742,1.0,0.0000,0.0000,0.0000,,,1025.00,17.50,0.0174,350.00,0.5185,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2632,6.0000,-0.4211,4.5000,0,0
201804,12700,"Barnstable Town, MA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,247050.000000,0.0186,0.1818,512.00000,-0.0303,0.0312,449.02912621359200,0.0733,-0.0495,89.0,0.0056,-0.1909,0.2022,-0.0578,-0.1105,129.00,-30.50,-0.1912,-25.00,-0.1623,16.0,-0.1111,-0.5000,0.0,,,0.0,-1.0000,-1.0000,6.0,0.0000,-0.3333,95.0,0.0053,-0.2017,0.0674,-0.0004,-0.0144,0.0546,-0.1056,0.0161,0.2353,0,0
201804,35460,"Newport, TN",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,54997.500000,0.0000,-0.0431,592.00000,0.0000,0.0000,93.09306318681300,0.0000,-0.0454,1.0,-0.5000,-0.5000,0.0000,,-1.0000,362.50,24.50,0.0725,350.00,28.0000,0.0,,,0.0,,,0.0,,,0.0,,,1.0,-0.5000,-0.5000,0.0000,0.0000,0.0000,-0.0909,-0.6552,0.6000,-0.4286,0,0
201804,43260,"Sheridan, WY",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,495050.000000,0.0000,2.2992,1100.00000,0.0000,0.1458,450.00000000000000,0.0000,1.8800,1.0,0.0000,0.0000,0.0000,,-1.0000,311.00,31.50,0.1127,297.00,21.2143,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1507,1.2143,-0.1507,1.2143,0,0
201804,35380,"New Orleans-Metairie, LA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,269550.000000,0.0179,0.0673,734.00000,0.0262,-0.0034,366.00000000000000,-0.0086,0.0155,177.0,0.0442,0.0994,0.2429,-0.0422,0.0028,70.00,-5.25,-0.0698,-7.00,-0.0909,56.0,0.3333,0.4000,0.0,,,32.0,-0.0588,0.3333,53.0,0.2771,0.1778,230.0,0.0900,0.1165,0.2994,0.0546,0.0199,-0.0738,-0.1434,-0.1233,-0.2000,0,0
201804,25060,"Gulfport-Biloxi-Pascagoula, MS",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,70050.000000,-0.0175,0.1685,682.50000,-0.0180,-0.0250,96.87500000000000,0.0116,0.1997,24.0,0.4118,0.3333,0.2500,-0.2916,0.5006,51.50,-5.00,-0.0885,-37.50,-0.4213,4.0,-0.6000,0.0000,0.0,,,0.0,-1.0000,-1.0000,1.0,-0.6000,-0.8571,25.0,0.2821,0.0000,0.0417,-0.1054,-0.3472,0.1470,0.6295,-0.1212,0.2340,1,0
201804,22500,"Florence, SC",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,248050.000000,-0.0159,-0.1295,1592.00000,0.0000,0.0000,155.77889447236100,-0.0159,-0.1296,1.0,0.0000,0.0000,0.0000,,-1.0000,365.00,31.50,0.0945,353.50,30.7391,0.0,,-1.0000,0.0,,,0.0,,,0.0,,,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.2121,-0.8381,0.2121,-0.8381,0,0
201804,33980,"Morehead City, NC",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,92050.000000,-0.0308,0.0466,402.00000,0.0000,0.2256,220.93396301610000,-0.0143,-0.0191,40.0,-0.0698,-0.1111,0.1500,0.1727,0.1252,105.00,-10.75,-0.0929,-46.00,-0.3046,4.0,-0.5000,,0.0,,,0.0,-1.0000,,7.0,0.4000,0.4000,47.0,-0.0208,-0.0600,0.1750,0.0587,0.0639,-0.0353,0.3321,0.0392,0.5143,0,0
201804,42220,"Santa Rosa, CA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_1,299050.000000,-0.2419,0.1771,713.00000,-0.0746,0.0071,394.38527915037950,0.0349,0.1542,7.0,0.2727,6.0000,0.8571,1.3572,-0.1429,26.00,-23.25,-0.4721,-4.00,-0.1333,4.0,1.0000,,0.0,,,0.0,,,0.0,,-1.0000,7.0,0.2727,0.4000,0.0000,0.0000,-4.0000,0.7009,2.1566,0.3548,-0.4194,1,0
