Month,Countyfips,CountyName,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201804,18181,"White, IN",USA,Single Family Home,bdrs_5+,435050.000000,0.0420,0.0119,4269.00000,-0.1212,0.4117,94.63056831153950,0.1433,-0.3344,7.0,0.1667,1.3333,0.2857,0.7138,,179.00,-29.00,-0.1394,98.00,1.2099,0.0,,,0.0,,,4.0,,,0.0,,,7.0,0.1667,1.3333,0.0000,0.0000,0.0000,0.3111,1.1429,0.0938,-0.1026,0,0
201804,25011,"Franklin, MA",USA,Single Family Home,bdrs_5+,342450.000000,0.0620,-0.2998,3690.00000,-0.0825,-0.0740,101.84131871384900,0.0157,-0.0987,10.0,0.0000,-0.4444,0.1999,0.9990,0.1998,170.00,-25.50,-0.1304,66.00,0.6346,0.0,,-1.0000,0.0,,,0.0,,-1.0000,1.0,0.0000,,11.0,0.0000,-0.3889,0.1000,0.0000,0.1000,-0.3171,-0.1445,-0.3806,0.3333,0,0
201804,04003,"Cochise, AZ",USA,Single Family Home,bdrs_5+,531950.000000,-0.0860,0.2515,3998.00000,-0.0819,-0.0115,97.30703081871850,-0.1204,-0.1868,18.0,0.0909,0.0588,0.2222,-0.4762,0.2589,53.00,-33.75,-0.3890,-108.00,-0.6708,4.0,-0.5000,0.0000,0.0,,,0.0,-1.0000,-1.0000,1.0,-0.5000,0.0000,19.0,0.0270,0.0556,0.0556,-0.0657,-0.0033,-0.0736,0.5054,-0.1294,0.6087,0,0
201804,48157,"Fort Bend, TX",USA,Single Family Home,bdrs_5+,639950.000000,-0.0322,0.0984,5238.50000,-0.0281,0.0413,130.86658463701800,0.0365,0.0429,87.0,0.1447,0.3810,0.2759,0.0756,0.0226,68.50,-1.75,-0.0249,13.00,0.2342,32.0,1.2857,1.0000,0.0,,,20.0,0.2500,0.2500,18.0,0.5652,0.2000,105.0,0.2000,0.3462,0.2069,0.0556,-0.0312,-0.0205,0.3956,-0.1143,0.0333,0,0
201804,26023,"Branch, MI",USA,Single Family Home,bdrs_5+,1575000.000000,-0.4661,5.5639,6540.00000,-0.2681,0.5125,202.12246113935850,-0.3878,2.6430,2.0,1.0000,-0.5000,0.5000,-0.5000,,36.50,12.00,0.4898,-99.50,-0.7316,0.0,,,0.0,,,0.0,,,0.0,,,2.0,1.0000,-0.5000,0.0000,0.0000,0.0000,0.0743,-0.3347,-0.4662,0.3390,0,0
201804,40051,"Grady, OK",USA,Single Family Home,bdrs_5+,449950.000000,0.1841,0.4515,4582.00000,0.2806,-0.0182,98.18856394587500,-0.1018,0.7317,3.0,0.5000,0.5000,0.3333,,,154.00,-26.50,-0.1468,33.50,0.2780,0.0,,,0.0,,,0.0,,,0.0,,,3.0,0.5000,0.5000,0.0000,0.0000,0.0000,1.3881,0.1111,0.6061,-0.2639,0,0
201804,01043,"Cullman, AL",USA,Single Family Home,bdrs_5+,549500.000000,0.0722,-0.0187,4511.50000,0.0108,0.1631,118.68193242111100,0.0000,-0.0505,27.0,-0.0357,0.1739,0.0370,-0.3085,-0.7163,173.00,16.50,0.1054,71.00,0.6961,0.0,,,0.0,,,4.0,1.0000,0.0000,0.0,,,27.0,-0.0357,0.1739,0.0000,0.0000,0.0000,-0.0904,0.2674,-0.0909,0.0417,0,0
201804,19187,"Webster, IA",USA,Single Family Home,bdrs_5+,124950.000000,0.0000,1.5474,3014.00000,0.0659,0.1200,34.58875657712500,0.0000,0.2437,3.0,0.0000,0.0000,0.0000,,,530.00,24.50,0.0485,204.00,0.6258,0.0,,,0.0,,,0.0,,,0.0,-1.0000,-1.0000,3.0,-0.1429,-0.2500,0.0000,-0.1667,-0.3333,0.0000,0.2364,-0.1698,0.2222,1,0
201804,26101,"Manistee, MI",USA,Single Family Home,bdrs_5+,279050.000000,0.0000,-0.0700,2806.00000,0.0000,-0.0428,85.19553072625600,-0.0771,-0.1757,11.0,0.1000,-0.2143,0.0909,,0.2731,327.00,-2.50,-0.0076,6.00,0.0187,0.0,,,0.0,,,0.0,,,0.0,,,11.0,0.1000,-0.2143,0.0000,0.0000,0.0000,0.1811,0.5159,0.0682,0.5161,0,0
201804,54095,"Tyler, WV",USA,Single Family Home,bdrs_5+,59050.000000,0.0000,,3700.00000,0.0000,,15.94594594594500,0.0000,,0.5,-0.5000,,0.0000,,,226.00,17.50,0.0839,,,0.0,,,0.0,,,0.0,,,0.0,,,0.5,-0.5000,,0.0000,0.0000,,-0.4085,,-0.0732,,0,0
