Month,ZipCode,ZipName,Property Type,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
201804,45601,"Chillicothe, OH",Condo/Townhome/Row Home/Co-Op,*,110000.000000,0.0005,,2.0,1.0000,-0.5000,55.00,0.1340,-0.0265,0.0,,,0.0,,,0.0,,,0.0,,,107980.0000,-0.0180,0.0191,2.0,1.0000,-0.5000,0.0000,0.0000,0.0000
201804,45714,"Belpre, OH",Condo/Townhome/Row Home/Co-Op,,92050.000000,-0.5843,0.0000,3.0,2.0000,0.0000,24.00,-0.8713,-0.6800,0.0,,,0.0,,,0.0,,,0.0,,-1.0000,135517.0000,-0.3514,-0.0976,3.0,2.0000,-0.4000,0.0000,0.0000,-0.6667
201804,45750,"Marietta, OH",Condo/Townhome/Row Home/Co-Op,,277050.000000,0.4314,0.8476,2.0,-0.5000,-0.5000,342.00,0.7100,2.1963,0.0,,,0.0,,,0.0,,,0.0,,,268683.0000,0.3124,0.1762,2.0,-0.5000,-0.5000,0.0000,0.0000,0.0000
201804,45801,"Lima, OH",Condo/Townhome/Row Home/Co-Op,*,222550.000000,0.0000,,1.0,0.0000,,19.50,2.9000,,0.0,-1.0000,-1.0000,0.0,,,0.0,,,0.0,,,210030.0000,-0.0563,13.0488,1.0,0.0000,0.0000,0.0000,0.0000,0.0000
201804,45804,"Lima, OH",Condo/Townhome/Row Home/Co-Op,*,129950.000000,0.0392,,1.0,1.0000,1.0000,21.50,-0.1731,-0.8969,0.0,,,0.0,,,0.0,,,0.0,-1.0000,-1.0000,119950.0000,0.0473,0.4120,1.0,0.0000,0.0000,0.0000,-1.0000,-1.0000
201804,45805,"Lima, OH",Condo/Townhome/Row Home/Co-Op,,120500.000000,-0.0045,-0.2741,21.0,0.0500,1.3333,98.50,0.4275,0.6148,0.0,-1.0000,,0.0,,,4.0,0.0000,,0.0,,,135236.0000,-0.0181,-0.0471,21.0,0.0500,1.3333,0.0000,0.0000,0.0000
201804,45806,"Lima, OH",Condo/Townhome/Row Home/Co-Op,,187000.000000,0.2529,-0.0066,6.0,0.5000,0.5000,28.00,0.8667,-0.6725,4.0,0.0000,,0.0,,,0.0,,,0.0,,,201039.0000,0.2827,0.1679,6.0,0.5000,0.5000,0.0000,0.0000,0.0000
201804,45810,"Ada, OH",Condo/Townhome/Row Home/Co-Op,*,200050.000000,0.0000,,1.0,0.0000,0.0000,160.00,0.1808,0.2121,0.0,,,0.0,,,0.0,,,0.0,,,200050.0000,0.0000,0.4824,1.0,0.0000,0.0000,0.0000,0.0000,0.0000
201804,45822,"Celina, OH",Condo/Townhome/Row Home/Co-Op,*,179050.000000,0.0000,0.0535,28.0,0.0182,0.4737,168.00,0.1873,,0.0,-1.0000,,0.0,,,0.0,,,0.0,-1.0000,-1.0000,176717.0000,-0.0031,0.1131,28.0,0.0000,0.4000,0.0000,-0.0182,-0.0526
201804,45840,"Findlay, OH",Condo/Townhome/Row Home/Co-Op,*,199950.000000,0.0695,,13.0,0.1304,0.0833,51.00,-0.3947,,4.0,0.0000,,0.0,,,0.0,,,0.0,,,194788.0000,0.0378,0.2189,13.0,0.1304,0.0833,0.0000,0.0000,0.0000
