Month,ZipCode,ZipName,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2018-04-01 00:00:00,50124,"Huxley, IA",*,274050.000000,0.0000,0.0000,17.0,-0.0556,,160.00,0.2008,,4.0,,-0.5000,0.0,,,0.0,,-1.0000,22.0,-0.0222,0.4667,281784.0000,-0.0031,0.0338,39.0,-0.0370,-0.1522,1.2941,0.0441,0.8102
2018-04-01 00:00:00,50125,"Indianola, IA",,243950.000000,-0.0081,-0.0201,62.0,-0.0815,-0.1143,95.00,-0.0404,0.0556,16.0,-0.1111,-0.3333,0.0,,,24.0,2.0000,5.0000,54.0,0.6119,-0.0690,292263.0000,0.0122,0.1581,116.0,0.1485,-0.0938,0.8710,0.3747,0.0424
2018-04-01 00:00:00,50126,"Iowa Falls, IA",*,151975.000000,-0.0224,0.0135,46.0,0.1948,,55.00,-0.2857,-0.2667,20.0,0.1111,0.2500,0.0,,,4.0,1.0000,0.0000,16.0,1.0000,,165438.0000,-0.0096,-0.0482,62.0,0.3333,0.5500,0.3478,0.1400,0.3478
2018-04-01 00:00:00,50129,"Jefferson, IA",*,95050.000000,0.0857,0.0567,19.0,-0.0952,,81.00,-0.2358,-0.2136,8.0,1.0000,,0.0,,,0.0,,,6.0,5.0000,5.0000,125871.0000,0.1002,0.2356,25.0,0.1364,0.1905,0.3158,0.2682,0.2658
2018-04-01 00:00:00,50131,"Johnston, IA",*,351150.000000,-0.0224,,117.0,0.0986,,60.00,-0.1608,,48.0,0.2632,0.0909,0.0,-1.0000,-1.0000,24.0,0.0000,-0.2500,66.0,0.2941,-0.0435,410844.0000,0.0398,0.0475,183.0,0.1619,0.1296,0.5641,0.0852,-0.1778
2018-04-01 00:00:00,50138,"Knoxville, IA",*,140050.000000,-0.0333,0.0786,36.0,0.1077,,60.00,0.1009,-0.1608,12.0,0.0000,0.0000,0.0,,,4.0,-0.3333,0.0000,17.0,0.4167,-0.3704,206792.0000,0.0069,0.2647,53.0,0.1910,-0.0862,0.4722,0.1030,-0.3987
2018-04-01 00:00:00,50158,"Marshalltown, IA",*,124950.000000,0.0870,0.0417,51.0,-0.1356,,50.00,-0.1935,-0.2754,20.0,-0.2308,-0.2857,0.0,,,16.0,0.0000,-0.2000,62.0,0.0420,14.5000,146667.0000,0.0210,0.0503,113.0,-0.0464,0.7121,1.2157,0.2072,1.1512
2018-04-01 00:00:00,50171,"Montezuma, IA",*,162950.000000,0.1165,0.0724,30.0,-0.1045,0.2000,58.00,1.1887,,4.0,0.0000,0.0000,0.0,,,0.0,,,7.0,0.1667,0.7500,221529.0000,0.0951,0.2473,37.0,-0.0633,0.2759,0.2333,0.0542,0.0733
2018-04-01 00:00:00,50201,"Nevada, IA",*,259530.000000,0.0818,,25.0,-0.1071,,35.00,-0.3694,,16.0,-0.1111,-0.3333,0.0,,,0.0,-1.0000,-1.0000,21.0,0.2727,0.4000,263119.0000,0.1164,0.1821,46.0,0.0337,-0.1930,0.8400,0.2507,0.4829
2018-04-01 00:00:00,50208,"Newton, IA",*,143050.000000,0.0039,,112.0,-0.0132,0.4737,69.00,0.0698,-0.2159,32.0,-0.2727,0.0000,0.0,,,20.0,-0.2857,0.2500,81.0,0.3065,0.2090,158786.0000,0.0358,0.1615,193.0,0.0997,0.3497,0.7232,0.1770,-0.1584
