Month,ZipCode,ZipName,Property Type,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
201804,22302,"Alexandria, VA",Single Family Home,*,932000.000000,-0.0478,-0.2201,29.0,0.2083,,36.50,0.4600,0.3519,16.0,0.3333,-0.3333,0.0,,,8.0,-0.2000,0.0000,0.0,,-1.0000,1074512.0000,-0.0502,-0.2664,29.0,0.2083,-0.1471,0.0000,0.0000,-0.3077
201804,22303,"Alexandria, VA",Single Family Home,,450050.000000,-0.0491,0.0613,19.0,1.3750,1.3750,17.50,-0.2708,0.2963,16.0,3.0000,1.0000,0.0,,,0.0,,,0.0,,-1.0000,535495.0000,-0.0942,0.0849,19.0,1.3750,0.4615,0.0000,0.0000,-0.6250
201804,22304,"Alexandria, VA",Single Family Home,*,699995.000000,-0.3561,,76.0,2.6190,,30.00,-0.5620,,36.0,2.0000,8.0000,0.0,,,12.0,5.0000,0.5000,0.0,,-1.0000,941670.0000,-0.2193,-0.3240,76.0,2.6190,1.6207,0.0000,0.0000,-0.3810
201804,22305,"Alexandria, VA",Single Family Home,*,679050.000000,-0.1556,,32.0,1.5600,,17.00,-0.3761,,28.0,2.5000,2.5000,0.0,,,4.0,,-0.5000,0.0,,-1.0000,798197.0000,-0.1340,-0.1470,32.0,1.5600,0.6000,0.0000,0.0000,-0.5385
201804,22306,"Alexandria, VA",Single Family Home,*,525050.000000,-0.0335,-0.1169,60.0,0.5584,,27.00,0.0000,-0.0526,32.0,0.4545,0.3333,0.0,,,8.0,0.3333,-0.5000,0.0,,-1.0000,602328.0000,-0.0260,0.0050,60.0,0.5584,0.1321,0.0000,0.0000,-0.4324
201804,22307,"Alexandria, VA",Single Family Home,*,750000.000000,-0.0476,,48.0,0.2152,,25.50,0.1860,,20.0,-0.3333,0.2500,0.0,,,12.0,1.0000,0.0000,0.0,,-1.0000,829686.0000,-0.0391,-0.2342,48.0,0.2152,0.0213,0.0000,0.0000,-0.2368
201804,22308,"Alexandria, VA",Single Family Home,,725000.000000,-0.0163,-0.0333,55.0,0.3095,0.1458,21.50,0.2286,-0.1400,40.0,0.1111,0.1111,0.0,,,12.0,2.0000,-0.2500,0.0,,-1.0000,993861.0000,-0.0366,-0.1032,55.0,0.3095,-0.1406,0.0000,0.0000,-0.3333
201804,22309,"Alexandria, VA",Single Family Home,*,559050.000000,-0.0564,-0.1637,79.0,0.3167,,23.00,-0.2459,-0.2813,56.0,0.8667,0.5556,0.0,,,16.0,0.6000,0.0000,0.0,,-1.0000,671115.0000,-0.0338,-0.1745,79.0,0.3167,-0.0814,0.0000,0.0000,-0.5357
201804,22310,"Alexandria, VA",Single Family Home,*,532500.000000,0.0103,,70.0,0.5730,,30.00,0.3043,,52.0,0.8571,0.3000,0.0,,,4.0,-0.6000,-0.7500,0.0,,-1.0000,593271.0000,-0.0120,-0.0816,70.0,0.5730,0.0294,0.0000,0.0000,-0.6585
201804,22311,"Alexandria, VA",Single Family Home,*,635050.000000,0.1199,,16.0,0.7778,,31.00,-0.3831,,4.0,0.0000,-0.5000,0.0,,,0.0,-1.0000,,0.0,,-1.0000,711269.0000,-0.0055,-0.0280,16.0,0.7778,0.4545,0.0000,0.0000,-0.3750
